1236,P,9891,Payment,-1000,0,1000
1236,P,9743,Payment,-422,0,422
1236,O,9244,Dell Inspiron 3583 Notebook,539.99,5,
1236,O,9638,Dell UltraSharp U2419H Full HD 1920 x 1080,189.99,3,
1236,O,9822,"SAMSUNG 398 Series C27F398 27"" Full HD 1920 x 1080",179.99,4,
1301,P,9622,Payment,-1200,0,1200
1301,O,9477,ASUS VivoBook 15 Thin and Light Laptop,659.99,3,
1301,P,9688,Payment,-300,0,300
1301,O,9360,Lenovo 100e Chromebook 2nd Gen,119.99,9,
1301,O,9930,Intel Core i9-9820X Skylake X 10-Core 3.3 GHz ,599.99,8,
1349,P,9502,Payment,-875.7,0,875.7
1349,O,9317,ASUS AMD AM4 ROG Strix X570-E Gaming ATX Motherboard,299.99,1,
1349,O,9451,SanDisk 128GB Ultra Flair CZ73 USB 3.0 Flash Drive,17.65,24,
1349,O,9750,GeForce RTX 2070 SUPER XC ULTRA GAMING,549.99,5,
1349,O,9977,Seasonic PRIME Ultra 550W 80+ Platinum Power Supply,121.99,3,
1380,P,9010,Payment,-750.45,0,750.45
1380,O,9317,Creative Sound Blaster Zx 116dB PCIe Gaming Sound Card,149.99,9,
1380,O,9970,ASUS - Gaming Desktop PC - Intel Core i5-9400F,815.99,4,
1380,O,9989,DELL Laptop XPS XPS9370-7040SLV,1889.99,1,
1522,O,9487,Intel Core i9-9900K 8-Core processor,524.99,4,
1522,P,9884,Payment,-500,0,500
1522,O,9109,Dell Inspiron 3583 Notebook,539.99,2,
1522,O,9577,Dell UltraSharp U2419H Full HD 1920 x 1080,189.99,5,
2222,O,9296,"SAMSUNG 398 Series C27F398 27"" Full HD 1920 x 1080",179.99,2,
1546,P,9628,Payment,-100,0,100
1546,O,9715,ASUS VivoBook 15 Thin and Light Laptop,659.99,6,
1546,P,9769,Payment,-250,0,250
1546,O,9580,Lenovo 100e Chromebook 2nd Gen,119.99,1,
1546,O,9438,Intel Core i9-9820X Skylake X 10-Core 3.3 GHz ,599.99,8,
1626,O,9611,Creative Sound Blaster Zx 116dB PCIe Gaming Sound Card,149.99,5,
1626,O,9660,Seasonic PRIME Ultra 550W 80+ Platinum Power Supply,121.99,6,
1626,P,9546,Payment,-500,0,500
1626,O,9557,Creative Sound Blaster Zx 116dB PCIe Gaming Sound Card,149.99,9,
1626,O,9876,ASUS - Gaming Desktop PC - Intel Core i5-9400F,815.99,2,
1626,O,9653,DELL Laptop XPS XPS9370-7040SLV,1889.99,2,
1711,P,9875,Payment,-870,0,870
1711,O,9405,Lenovo 100e Chromebook 2nd Gen,119.99,10,
1711,O,9142,Intel Core i9-9820X Skylake X 10-Core 3.3 GHz ,599.99,5,
1711,O,9241,Intel Z390 SATA 6Gb USB 3.1 ATX Intel Motherboard,125.99,1,
1808,P,9711,Payment,-3000,0,3000
1808,O,9045,ASUS AMD AM4 ROG Strix X570-E Gaming ATX Motherboard,299.99,3,
1808,O,9636,SanDisk 128GB Ultra Flair CZ73 USB 3.0 Flash Drive,17.65,50,
1808,O,9432,GeForce RTX 2070 SUPER XC ULTRA GAMING,549.99,7,
1808,O,9319,Seasonic PRIME Ultra 550W 80+ Platinum Power Supply,121.99,4,
1809,O,1000,end of file,1,1,1
